Species,Species >1970,Species <1970,List,Region,Region code,Subregion,subregion code,Geo subreg,Lat,Long,Status comment,STATUS,Group,VER-INV-PP,NS stand,Year,Period,REL,EC,TC,TS-0ther,TS-ball,TS-hull,COR,UNA,UNK,,,,,,,,,
"Aglaothamnion feldmanniae Halos, 1965","Aglaothamnion feldmanniae Halos, 1965",,msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,partly native in NEA,range expanding,Primary producer,PP,1986,1986,1982-1987,,,,,,1,,,,,,,,,,,,
"Aglaothamnion feldmanniae Halos, 1965","Aglaothamnion feldmanniae Halos, 1965",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,partly native in NEA,non-indigenous,Primary producer,PP,1975,1975,1970-1975,,,,,,1,,,,,,,,,,,,
"Aglaothamnion halliae (Collins) Aponte, D.L.Ballantine & J.N.Norris, 1997",,"Aglaothamnion halliae (Collins) Aponte, D.L.Ballantine & J.N.Norris, 1997",msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,non-indigenous,Primary producer,PP,2016,2016,2012-2017,,,,,,1,,,,,,,,,,,,
"Aglaothamnion halliae (Collins) Aponte, D.L.Ballantine & J.N.Norris, 1997",,"Aglaothamnion halliae (Collins) Aponte, D.L.Ballantine & J.N.Norris, 1997",msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,non-indigenous,Primary producer,PP,,1960,<1970,,,,,,1,,,,,,,,,,,,
"Agonus cataphractus (Linnaeus, 1758)","Agonus cataphractus (Linnaeus, 1758)",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Vertebrate,VER,2005,2005,2000-2005,0.5,,,,0.5,,,,,,,,,,,,,
"Ahnfeltiopsis flabelliformis (Harvey) Masuda, 1993","Ahnfeltiopsis flabelliformis (Harvey) Masuda, 1993",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Primary producer,PP,1994,1994,1994-1999,,,1,,,,,,,,,,,,,,,
"Akashiwo sanguinea (K.Hirasaka) G.Hansen & Ø.Moestrup, 2000","Akashiwo sanguinea (K.Hirasaka) G.Hansen & Ø.Moestrup, 2000",,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,microalgae,Primary producer,PP,,1982,1982-1987,,,,,1,,,,,,,,,,,,,
"Alepes djedaba (Forsskål, 1775)",,"Alepes djedaba (Forsskål, 1775)",msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Vertebrate,VER,1961,1961,<1970,,,,,,,,1,,,,,,,,,,
"Alepes djedaba (Forsskål, 1775)",,"Alepes djedaba (Forsskål, 1775)",msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Vertebrate,VER,1960,1960,<1970,,,,,,,,1,,,,,,,,,,
Alexandrium oesterfieldi,Alexandrium oesterfieldi,,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,microalgae,Primary producer,PP,,1986,1982-1987,,,,,1,,,,,,,,,,,,,
"Alexandrium affine (H.Inoue & Y.Fukuyo) Balech, 1995","Alexandrium affine (H.Inoue & Y.Fukuyo) Balech, 1995",,msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,microalgae,Primary producer,PP,1987,1987,1982-1987,,,,,1,,,,,,,,,,,,,
"Alexandrium leei Balech, 1985","Alexandrium leei Balech, 1985",,msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,microalgae,Primary producer,PP,1993,1993,1988-1993,,,,,1,,,,,,,,,,,,,
"Alexandrium leei Balech, 1985","Alexandrium leei Balech, 1985",,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,microalgae,Primary producer,PP,,1991,1988-1993,,,,,,,,1,,,,,,,,,,
"Alexandrium margalefii Balech, 1994","Alexandrium margalefii Balech, 1994",,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,microalgae,Primary producer,PP,,2006,2006-2011,,,,,0.5,,,0.5,,,,,,,,,,
"Alexandrium taylori Balech, 1994","Alexandrium taylori Balech, 1994",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,microalgae,Primary producer,PP,1994,1994,1994-1999,,,,1,,,,,,,,,,,,,,
"Aliculastrum cylindricum (Helbling, 1779)","Aliculastrum cylindricum (Helbling, 1779)",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,2020,2020,2018-2020,,,,,0.5,0.5,,,,,,,,,,,,
"Alitta succinea (Leuckart, 1847)",,"Alitta succinea (Leuckart, 1847)",msfd,Black Sea,BLK,Black Sea,BLK,"43.227,32.008",43.227,32.008,"cryptogenic, NEA",non-indigenous,Invertebrate,INV,< 1936,1936,<1970,,,,,0.5,0.5,,,,,,,,,,,,
"Alloeocarpa loculosa Monniot C., 1974 ","Alloeocarpa loculosa Monniot C., 1974 ",,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,"partly native, NEA",non-indigenous,Invertebrate,INV,,1971,1970-1975,,,,,0.5,0.5,,,,,,,,,,,,
"Allolepidapedon fistulariae Yamaguti, 1940","Allolepidapedon fistulariae Yamaguti, 1940",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,pathogen/parasite,Invertebrate,INV,2005,2005,2000-2005,,,1,,,,,,,,,,,,,,,
"Alpheus dentipes Guérin, 1832",,"Alpheus dentipes Guérin, 1832",msfd,Black Sea,BLK,Black Sea,BLK,"43.227,32.008",43.227,32.008,"partly native, NEA-MED",non-indigenous,Invertebrate,INV,1966,1966,<1970,,,,,,,,1,,,,,,,,,,
"Alpheus sp. Fabricius, 1798","Alpheus sp. Fabricius, 1798",,msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,non-indigenous,Invertebrate,INV,2015 - 2020,2017,2012-2017,,,,,0.5,0.5,,,,,,,,,,,,
"Alpheus rapacida de Man, 1908","Alpheus rapacida de Man, 1908",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,1998,1998,1994-1999,,,,,,,,1,,,,,,,,,,
"Aluterus monoceros (Linnaeus, 1758) ","Aluterus monoceros (Linnaeus, 1758) ",,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,,range expanding,Vertebrate,VER,,1990,1988-1993,,,,,,,,,1,,,,,,,,,
"Aluterus scriptus (Osbeck, 1765) ","Aluterus scriptus (Osbeck, 1765) ",,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,,range expanding,Vertebrate,VER,,1970,1970-1975,,,,,,,,,1,,,,,,,,,
